algoritmo,tasa_inf,desviacion_general,agr,tiempo
age_sf,212,0.12504013427031735,0.18163925087119726,18103
age_un,198,0.11499635111714039,0.1678972299855764,15258
agg_sf,458,0.15450280205272443,0.2770806237063346,16269
agg_un,441,0.15647187379066985,0.2744938953390955,14613
am_10_01,216,0.12496570792876094,0.18274397279215918,14649
am_10_01_mejores,185,0.12192533704903252,0.1712887711299136,14254
am_10_1,342,0.156326935120466,0.247764523113933,15215
analisis,243,0.14218280589220314,0.20730126868977794,12585
bl,133,0.11054512883162007,0.14618756494865143,6039
greedy,29,0.2277966924956604,0.23546115620202954,16
