algoritmo,tasa_inf,desviacion_general,agr,tiempo
age_sf,21,0.6889040299453162,0.770473268219893,3081
age_un,20,0.6619907242649997,0.7411371138779553,2854
agg_sf,23,0.6805308293739725,0.7717914622950335,2677
agg_un,21,0.6678283394568216,0.751012810172479,2527
am_10_01,27,0.6363754999805634,0.7454036897535126,2602
am_10_01_mejores,13,0.7185628358323465,0.7694426577263893,2667
am_10_1,13,0.7133749304392563,0.7650623685538396,2690
analisis,18,0.7121776320574602,0.7831590216807528,2112
bl,23,0.7196560249243996,0.8101090416249204,104
greedy,2,0.9871188953955995,0.9951950576010032,1
